attraction_id,city,name,category,tags,duration_hours,price_level,rating,description
AMS_A01,Amsterdam,Rijksmuseum,museum,"art,history,dutch masters,rembrandt,vermeer",3.0,2,9.6,"The Netherlands' premier art and history museum. Home to Rembrandt's Night Watch, Vermeer's Milkmaid, and an unparalleled collection of Dutch Golden Age masterpieces."
AMS_A02,Amsterdam,Van Gogh Museum,museum,"art,impressionism,van gogh,post-impressionism",2.5,2,9.4,"The world's largest collection of Van Gogh works. Over 200 paintings and 500 drawings tracing the artist's turbulent life. Book well in advance."
AMS_A03,Amsterdam,Anne Frank House,museum,"history,world war ii,jewish heritage,biography",2.0,2,9.5,"The secret annex where Anne Frank and her family hid during WWII. A profoundly moving historical site. Timed-entry tickets required."
AMS_A04,Amsterdam,Canal Cruise,outdoor,"canals,boat,sightseeing,romantic,photography",1.5,1,9.0,"Iconic boat tour through Amsterdam's UNESCO-listed canal belt. Daytime and evening options available, with hop-on hop-off variants for flexible exploring."
AMS_A05,Amsterdam,Vondelpark,outdoor,"park,relaxation,cycling,picnic,locals",2.0,0,8.8,"Amsterdam's beloved urban park. Rent a bike and cycle its paths, join locals for a picnic, or catch an open-air theatre performance in summer."
AMS_A06,Amsterdam,Stedelijk Museum,museum,"modern art,contemporary,design,photography",2.5,2,8.9,"World-class modern and contemporary art museum housed in a striking building. Strong collection of Mondrian, Malevich, and rotating international exhibitions."
AMS_A07,Amsterdam,Jordaan Neighbourhood Walk,outdoor,"walking,neighbourhood,architecture,local life,photography",2.0,0,9.1,"Self-guided stroll through Amsterdam's most charming neighbourhood. Narrow bridges, independent galleries, artisan coffee shops, and hidden hofjes (courtyards)."
AMS_A08,Amsterdam,Heineken Experience,food_drink,"beer,brewing,interactive,tour",1.5,2,8.4,"Interactive brewery tour inside the original Heineken factory. Includes tastings, interactive exhibits, and a souvenir glass. Popular with groups."
AMS_A09,Amsterdam,Day Trip to Keukenhof,day_trip,"flowers,gardens,tulips,windmills,cycling",6.0,2,9.7,"The world's largest flower garden, open March-May. Over 7 million bulbs. Combine with a visit to the nearby windmills at Kinderdijk. Seasonal."
AMS_A10,Amsterdam,FOAM Photography Museum,museum,"photography,contemporary art,exhibitions",1.5,1,8.7,"Intimate photography museum in a beautiful canal house. Rotating exhibitions featuring both emerging and established photographers from around the world."
PAR_A01,Paris,Louvre Museum,museum,"art,history,ancient,mona lisa,renaissance",4.0,2,9.4,"The world's most visited museum. Home to the Mona Lisa, Venus de Milo, and over 35,000 works spanning millennia. Arrive early to beat the crowds."
PAR_A02,Paris,Eiffel Tower,landmark,"iconic,views,romantic,photography,engineering",2.5,2,9.3,"Paris's defining icon. Take the stairs for the best experience, or queue for the glass-floor summit. Magical at dusk when the twinkling lights begin."
PAR_A03,Paris,Musée d'Orsay,museum,"impressionism,post-impressionism,monet,degas,renoir",3.0,2,9.6,"Housed in a converted Belle Époque railway station, this is the world's finest Impressionist collection. Monets, Degases, Renoirs, and Van Goghs under one roof."
PAR_A04,Paris,Montmartre Walk,outdoor,"art,bohemian,history,views,sacre-coeur,neighbourhood",3.0,0,9.0,"Walk the winding lanes of Paris's artistic hilltop village. Visit the Sacré-Cœur, the original Moulin Rouge, and the vineyard. Best at sunrise or sunset."
PAR_A05,Paris,Seine River Cruise,outdoor,"river,romantic,sightseeing,boat,evening",1.5,1,9.1,"Classic Paris experience. A Bateaux Mouches or Vedettes du Pont Neuf cruise past Notre-Dame, the Louvre, and the Eiffel Tower. Evening sailings are especially romantic."
PAR_A06,Paris,Centre Pompidou,museum,"modern art,contemporary,architecture,kandinsky,picasso",2.5,2,8.8,"Inside-out architectural marvel housing Europe's largest modern art museum. Strong Picasso, Matisse, and Kandinsky collections plus cutting-edge temporary shows."
PAR_A07,Paris,Versailles Day Trip,day_trip,"palace,gardens,history,baroque,royal",7.0,2,9.5,"The Sun King's impossibly grand palace and 800-hectare gardens. Buy a passport ticket to access the Grand Trianon and Marie Antoinette's estate. Full day minimum."
PAR_A08,Paris,Le Marais Food Walk,food_drink,"food,jewish quarter,falafel,patisserie,local,walking",2.5,1,9.0,"Guided or self-guided food walk through the historic Marais. L'As du Fallafel, Pierre Hermé macarons, and artisanal cheese shops are essential stops."
BCN_A01,Barcelona,Sagrada Família,landmark,"gaudi,architecture,religious,art nouveau,modernisme",3.0,2,9.7,"Gaudí's life's work and Spain's most visited monument. Still under construction after 140 years. The interior is a kaleidoscopic forest of light. Book months ahead."
BCN_A02,Barcelona,Park Güell,outdoor,"gaudi,architecture,mosaic,views,nature",2.0,1,9.0,"Fantastical Gaudí park with mosaic terraces and gingerbread gatehouses. The monumental zone requires timed tickets. Views over Barcelona are superb."
BCN_A03,Barcelona,Gothic Quarter,outdoor,"history,medieval,architecture,neighbourhood,walking",2.5,0,9.1,"Barcelona's ancient heart. Wander past Roman ruins, medieval churches, and narrow lanes unchanged since the Middle Ages. The Barcelona Cathedral anchors it."
BCN_A04,Barcelona,Picasso Museum,museum,"art,picasso,early works,20th century",2.5,2,9.2,"Housed in five connected medieval palaces. Chronicles Picasso's formative years in Barcelona. Wonderful Blue Period and early masterpieces."
BCN_A05,Barcelona,La Boqueria Market,food_drink,"food market,fresh produce,tapas,locals,photography",1.5,0,8.8,"Barcelona's most famous covered market on Las Ramblas. Vibrant stalls of jamón, seafood, fruit, and spices. Arrive before 10am to beat the tour groups."
BCN_A06,Barcelona,Barceloneta Beach,outdoor,"beach,swimming,relaxation,watersports,food"],2.5,0,8.9,"The city beach minutes from the Gothic Quarter. Golden sand, beach volleyball, and dozens of chiringuitos (beach bars) serving cold cava and grilled fish."
BCN_A07,Barcelona,Montjuïc and MNAC,outdoor,"museum,views,history,art,gardens,cable car"],3.0,1,9.0,"Take the cable car or funicular to Montjuïc hill. The MNAC museum houses a world-class Romanesque art collection. The Olympic stadium and fantastic Barcelona panoramas."
BCN_A08,Barcelona,El Born Tapas Tour,food_drink,"food,tapas,wine,local,neighbourhood,evening"],2.5,1,9.2,"Bar-hop through El Born's best pintxos and tapas bars. Local vermouth, jamón ibérico, and patatas bravas. Essential for first-time visitors."
ROM_A01,Rome,Colosseum and Roman Forum,landmark,"ancient rome,gladiators,history,archaeology,iconic"],3.0,2,9.6,"The world's most iconic ancient monument. Book a gladiator school or underground tour for the best experience. Combined ticket includes Palatine Hill."
ROM_A02,Rome,Vatican Museums and Sistine Chapel,museum,"art,religion,michelangelo,raphael,history"],4.0,2,9.5,"One of the world's great art collections housed in the Apostolic Palace. The Sistine Chapel ceiling is the climax. Book skip-the-line tickets obligatory."
ROM_A03,Rome,Colosseum,landmark,"ancient,rome,gladiators,history,iconic"],2.5,2,9.4,"The Flavian Amphitheatre, heart of ancient Roman spectacle. Combined tickets available with the Roman Forum and Palatine Hill. Guided tours highly recommended."
ROM_A04,Rome,Trevi Fountain,landmark,"baroque,fountain,iconic,romantic,coins"],0.5,0,9.0,"Bernini's greatest fountain. Toss a coin to ensure your return. Visit very early morning or late at night to experience it without crowds."
ROM_A05,Rome,Borghese Gallery,museum,"sculpture,baroque,bernini,caravaggio,raphael"],2.0,2,9.7,"One of Rome's finest museums limited to 360 visitors at a time. Bernini's virtuoso sculptures and Caravaggio's explosive canvases. Advance booking essential."
ROM_A06,Rome,Trastevere Evening Walk,outdoor,"neighbourhood,evening,food,local,romantic"],2.5,0,9.3,"Rome's most romantic neighbourhood comes alive after dark. Golden evening light on terracotta facades, open-air dining, and jazz spilling from bars."
ROM_A07,Rome,Day Trip to Pompeii,day_trip,"history,archaeology,ancient rome,volcano,day trip"],8.0,2,9.4,"Take the Trenitalia high-speed to Naples then circumvesuviana to Pompeii. Walk the eerie preserved streets of the city frozen in 79AD. Full day essential."
ROM_A08,Rome,Pantheon,landmark,"ancient rome,architecture,iconic,free,engineering"],1.0,0,9.1,"The best-preserved ancient Roman building. The unreinforced concrete dome is still an engineering marvel after 2,000 years. Free entry on certain days."
LIS_A01,Lisbon,Belém Tower,landmark,"history,architecture,manueline,sightseeing,photography"],1.5,1,9.0,"UNESCO-listed 16th-century fortress on the Tagus estuary. One of Lisbon's most photographed symbols. Combine with the nearby Jerónimos Monastery."
LIS_A02,Lisbon,Jerónimos Monastery,landmark,"architecture,history,manueline,age of discovery,religion"],2.0,1,9.3,"Portugal's greatest Gothic-Manueline monument, built to celebrate Vasco da Gama's voyages. The maritime cloister is extraordinary."
LIS_A03,Lisbon,Alfama Fado Show,food_drink,"fado,music,portuguese culture,evening,restaurant"],3.0,2,9.4,"Authentic fado performance in a traditional casa de fado in the Alfama. Dinner and wine included. Book in advance for the best venues like Clube de Fado."
LIS_A04,Lisbon,Tram 28 and Alfama Walk,outdoor,"tram,neighbourhood,views,history,walking,photography"],2.5,0,9.0,"Ride the iconic yellow tram through the historic Alfama, Graça, and Estrela neighbourhoods. Get off at São Jorge Castle for sweeping city and river views."
LIS_A05,Lisbon,MAAT Museum,museum,"contemporary art,architecture,river,modern"],2.0,1,8.8,"The Museum of Art, Architecture and Technology on the Tagus riverfront. A striking contemporary building with international art shows and a rooftop terrace."
LIS_A06,Lisbon,Sintra Day Trip,day_trip,"palaces,unesco,fairy tale,history,nature,day trip"],7.0,2,9.6,"A fairy-tale UNESCO World Heritage town 40 minutes from Lisbon by train. Explore Pena Palace, the Moorish Castle, and the Quinta da Regaleira. Arrive early."
LIS_A07,Lisbon,LX Factory Sunday Market,food_drink,"food market,design,local,creative,sunday"],2.0,0,9.0,"Lisbon's most creative weekend market inside a converted 19th-century factory. Local designers, vintage clothing, street food, and the best pastel de nata in the city."
LIS_A08,Lisbon,Oceanarium,outdoor,"aquarium,nature,family,marine life"],2.0,2,9.2,"One of Europe's finest oceanariums, designed for the 1998 Expo. A single central tank mimics the open ocean, surrounded by four smaller regional tanks. Great for families."
